Complaint,Category
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
I received an email asking for my bank details.,Phishing
Someone hacked into my Instagram account.,Hacking
I was scammed by an online seller.,Fraud
A fake call asked for my credit card details.,Phishing
My PayPal account was accessed without my permission.,Hacking
I received a suspicious link from an unknown number.,Phishing
Someone is blackmailing me online.,Cyberbullying
A website promised investment returns but stole my money.,Fraud
My personal photos were leaked on the internet.,Identity Theft
"An email said I won a lottery, but they asked for fees.",Phishing
